uid_code,county_code,district_code,school_code,school_name,district_name,county_name,num_enrolled_grade_12,num_testers_grade_12,pct_above_21_comp
43696664333795.0,43.0,4369666.0,4333795.0,Abraham Lincoln High,San Jose Unified,Santa Clara,463.0,53.0,64.15
19647331935121.0,19.0,1964733.0,1935121.0,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226.0,19.0,57.89
19769680109926.0,19.0,1976968.0,109926.0,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65.0,33.0,9.09
19647330126615.0,19.0,1964733.0,126615.0,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126.0,16.0,31.25
19651361996321.0,19.0,1965136.0,1996321.0,Academy of the Canyons,William S. Hart Union High,Los Angeles,104.0,36.0,94.44
7616300730283.0,7.0,761630.0,730283.0,Acalanes High,Acalanes Union High,Contra Costa,353.0,99.0,93.94
43694270125617.0,43.0,4369427.0,125617.0,ACE Charter High,East Side Union High,Santa Clara,41.0,34.0,2.94
36679340125419.0,36.0,3667934.0,125419.0,Adelanto High,Victor Valley Union High,San Bernardino,430.0,28.0,28.57
56725465631619.0,56.0,5672546.0,5631619.0,Adolfo Camarillo High,Oxnard Union High,Ventura,507.0,91.0,60.44
43696744338802.0,43.0,4369674.0,4338802.0,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458.0,138.0,67.39
19646831930080.0,19.0,1964683.0,1930080.0,Agoura High,Las Virgenes Unified,Los Angeles,459.0,140.0,81.43
19647330118588.0,19.0,1964733.0,118588.0,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382.0,112.0,6.25
1611190130229.0,1.0,161119.0,130229.0,Alameda High,Alameda Unified,Alameda,463.0,93.0,91.4
1611270130450.0,1.0,161127.0,130450.0,Albany High,Albany City Unified,Alameda,296.0,58.0,87.93
19647331933852.0,19.0,1964733.0,1933852.0,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585.0,139.0,53.96
19757131930163.0,19.0,1975713.0,1930163.0,Alhambra High,Alhambra Unified,Los Angeles,648.0,93.0,74.19
7617390730549.0,7.0,761739.0,730549.0,Alhambra Senior High,Martinez Unified,Contra Costa,284.0,40.0,75.0
27661592730109.0,27.0,2766159.0,2730109.0,Alisal High,Salinas Union High,Monterey,651.0,206.0,22.82
30664643030574.0,30.0,3066464.0,3030574.0,Aliso Niguel High,Capistrano Unified,Orange,749.0,286.0,88.81
19647330127217.0,19.0,1964733.0,127217.0,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,Los Angeles,61.0,77.0,15.58
19647330121285.0,19.0,1964733.0,121285.0,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,123.0,155.0,8.39
19647330108936.0,19.0,1964733.0,108936.0,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,141.0,70.0,27.14
19647330111500.0,19.0,1964733.0,111500.0,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101.0,80.0,17.5
19647330108894.0,19.0,1964733.0,108894.0,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,138.0,162.0,14.81
19647330117606.0,19.0,1964733.0,117606.0,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,128.0,155.0,25.81
