uid_code,county_code,district_code,school_code,school_name,district_name,county_name,enrolled_grade_12,num_testers_grade_12,pct_erw_pass_12,pct_math_pass_12,enrolled_grade_11,num_testers_grade_11,pct_erw_pass_11,pct_math_pass_11,pct_both_pass_12,pct_both_pass_11
19647331930924.0,19.0,1964733.0,1930924.0,Belmont Senior High,Los Angeles Unified,Los Angeles,206.0,102.0,30.39,13.73,219.0,174.0,24.14,6.9,13.73,6.32
19647331931476.0,19.0,1964733.0,1931476.0,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227.0,113.0,47.79,15.93,333.0,275.0,35.27,13.45,15.93,12.73
19647336061451.0,19.0,1964733.0,6061451.0,Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,106.0,64.15,33.96,187.0,183.0,49.73,25.68,33.96,24.04
30736353034956.0,30.0,3073635.0,3034956.0,Mission Viejo High,Saddleback Valley Unified,Orange,562.0,190.0,84.74,72.63,503.0,223.0,92.38,78.92,69.47,77.13
19647330119685.0,19.0,1964733.0,119685.0,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85.0,68.0,25.0,8.82,79.0,79.0,27.85,12.66,8.82,7.59
33670333331600.0,33.0,3367033.0,3331600.0,Corona High,Corona-Norco Unified,Riverside,581.0,204.0,72.55,43.14,572.0,168.0,76.19,50.0,40.2,46.43
19646341996586.0,19.0,1964634.0,1996586.0,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,68.0,66.18,44.12,163.0,122.0,59.02,29.51,42.65,29.51
33671813335759.0,33.0,3367181.0,3335759.0,Palo Verde High,Palo Verde Unified,Riverside,174.0,38.0,71.05,34.21,207.0,56.0,62.5,33.93,31.58,33.93
36750773630423.0,36.0,3675077.0,3630423.0,Apple Valley High,Apple Valley Unified,San Bernardino,551.0,186.0,80.65,37.63,509.0,226.0,76.11,40.27,36.02,38.05
37683386061964.0,37.0,3768338.0,6061964.0,The O'Farrell Charter,San Diego Unified,San Diego,125.0,64.0,68.75,51.56,127.0,114.0,67.54,41.23,43.75,41.23
10621171030683.0,10.0,1062117.0,1030683.0,Clovis East High,Clovis Unified,Fresno,584.0,237.0,67.93,43.46,635.0,191.0,84.82,70.16,39.66,67.02
39686760108159.0,39.0,3968676.0,108159.0,Cesar Chavez High,Stockton Unified,San Joaquin,521.0,192.0,50.0,26.04,546.0,108.0,56.48,44.44,20.31,37.96
19647331938885.0,19.0,1964733.0,1938885.0,University High School Charter,Los Angeles Unified,Los Angeles,336.0,193.0,62.69,42.49,307.0,315.0,61.59,37.14,39.38,34.92
19647331996115.0,19.0,1964733.0,1996115.0,City of Angels,Los Angeles Unified,Los Angeles,292.0,23.0,60.87,30.43,352.0,83.0,55.42,19.28,30.43,19.28
19756636120158.0,19.0,1975663.0,6120158.0,New West Charter,SBE - New West Charter,Los Angeles,90.0,47.0,91.49,70.21,91.0,41.0,95.12,78.05,68.09,78.05
19757131934553.0,19.0,1975713.0,1934553.0,Mark Keppel High,Alhambra Unified,Los Angeles,579.0,269.0,89.59,85.5,560.0,285.0,92.63,90.88,79.93,87.72
29663572935500.0,29.0,2966357.0,2935500.0,Nevada Union High,Nevada Joint Union High,Nevada,353.0,89.0,87.64,71.91,380.0,89.0,93.26,86.52,69.66,86.52
30736503035102.0,30.0,3073650.0,3035102.0,University High,Irvine Unified,Orange,633.0,205.0,92.2,90.24,551.0,268.0,98.13,98.51,87.32,96.64
41689244137790.0,41.0,4168924.0,4137790.0,Westmoor High,Jefferson Union High,San Mateo,395.0,344.0,61.92,49.13,383.0,74.0,94.59,94.59,44.48,93.24
7617960735316.0,7.0,761796.0,735316.0,Pinole Valley High,West Contra Costa Unified,Contra Costa,266.0,249.0,46.99,24.1,291.0,54.0,87.04,59.26,23.29,57.41
19642460100081.0,19.0,1964246.0,100081.0,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668.0,166.0,67.47,30.12,686.0,637.0,42.23,17.74,27.71,16.8
19642461930213.0,19.0,1964246.0,1930213.0,Antelope Valley High,Antelope Valley Union High,Los Angeles,454.0,83.0,44.58,10.84,377.0,299.0,24.08,8.36,9.64,6.69
19648731936749.0,19.0,1964873.0,1936749.0,Paramount High,Paramount Unified,Los Angeles,1135.0,932.0,37.77,19.85,1196.0,1058.0,37.15,18.24,16.95,15.6
41690474134557.0,41.0,4169047.0,4134557.0,Mills High,San Mateo Union High,San Mateo,299.0,147.0,93.2,89.8,309.0,157.0,93.63,91.72,85.71,89.17
41690704137279.0,41.0,4169070.0,4137279.0,South San Francisco High,South San Francisco Unified,San Mateo,292.0,86.0,82.56,61.63,336.0,56.0,80.36,73.21,59.3,71.43
1612000133397.0,1.0,161200.0,133397.0,Granada High,Livermore Valley Joint Unified,Alameda,567.0,178.0,88.2,80.34,565.0,208.0,96.15,92.79,74.16,90.38
19101990115212.0,19.0,1910199.0,115212.0,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41.0,17.0,58.82,35.29,38.0,17.0,82.35,29.41,35.29,29.41
38684783833407.0,38.0,3868478.0,3833407.0,Lowell High,San Francisco Unified,San Francisco,678.0,423.0,98.11,91.25,711.0,565.0,99.12,96.64,91.02,96.11
21654822133692.0,21.0,2165482.0,2133692.0,Tamalpais High,Tamalpais Union High,Marin,376.0,149.0,92.62,81.21,391.0,176.0,98.3,90.91,79.87,90.91
33103300110833.0,33.0,3310330.0,110833.0,River Springs Charter,Riverside County Office of Education,Riverside,213.0,33.0,90.91,66.67,267.0,17.0,88.24,52.94,66.67,52.94
37683380107052.0,37.0,3768338.0,107052.0,San Diego Business/Leadership,San Diego Unified,San Diego,100.0,18.0,44.44,11.11,139.0,17.0,64.71,17.65,5.56,17.65
37683380107078.0,37.0,3768338.0,107078.0,Kearny Digital Media & Design,San Diego Unified,San Diego,86.0,25.0,80.0,44.0,100.0,39.0,82.05,64.1,44.0,58.97
39103973930476.0,39.0,3910397.0,3930476.0,Venture Academy,San Joaquin County Office of Education,San Joaquin,266.0,77.0,61.04,23.38,242.0,34.0,70.59,41.18,23.38,41.18
7617210107797.0,7.0,761721.0,107797.0,Heritage High,Liberty Union High,Contra Costa,574.0,244.0,86.89,64.75,590.0,222.0,90.99,81.53,63.93,78.38
10752341037456.0,10.0,1075234.0,1037456.0,Tranquillity High,Golden Plains Unified,Fresno,120.0,27.0,37.04,0.0,105.0,104.0,18.27,0.96,0.0,0.96
10752751036938.0,10.0,1075275.0,1036938.0,Sierra High,Sierra Unified,Fresno,91.0,28.0,92.86,53.57,81.0,23.0,82.61,65.22,53.57,60.87
33751760107920.0,33.0,3375176.0,107920.0,Lakeside High,Lake Elsinore Unified,Riverside,387.0,112.0,60.71,36.61,421.0,140.0,70.71,42.14,32.14,38.57
36676783630522.0,36.0,3667678.0,3630522.0,Ruben S. Ayala High,Chino Valley Unified,San Bernardino,695.0,556.0,82.37,65.11,691.0,623.0,81.86,57.14,63.31,54.41
36676783631769.0,36.0,3667678.0,3631769.0,Buena Vista Continuation High,Chino Valley Unified,San Bernardino,118.0,79.0,7.59,0.0,41.0,39.0,10.26,0.0,0.0,0.0
36676783632502.0,36.0,3667678.0,3632502.0,Chino High,Chino Valley Unified,San Bernardino,432.0,354.0,49.15,23.73,462.0,383.0,49.87,25.33,21.75,22.72
19643941931823.0,19.0,1964394.0,1931823.0,Claremont High,Claremont Unified,Los Angeles,591.0,263.0,88.97,68.82,565.0,314.0,94.9,85.35,66.54,83.12
19647330122341.0,19.0,1964733.0,122341.0,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,85.0,31.0,35.48,3.23,113.0,100.0,40.0,8.0,3.23,8.0
24657552434207.0,24.0,2465755.0,2434207.0,Los Banos High,Los Banos Unified,Merced,303.0,95.0,65.26,37.89,304.0,80.0,68.75,38.75,35.79,33.75
36678763631082.0,36.0,3667876.0,3631082.0,Arroyo Valley High,San Bernardino City Unified,San Bernardino,565.0,202.0,50.99,25.25,631.0,554.0,37.73,16.43,22.77,15.34
36678763631090.0,36.0,3667876.0,3631090.0,Middle College High,San Bernardino City Unified,San Bernardino,67.0,50.0,76.0,52.0,70.0,67.0,82.09,65.67,46.0,61.19
39685853930237.0,39.0,3968585.0,3930237.0,Bear Creek High,Lodi Unified,San Joaquin,450.0,173.0,72.25,63.01,540.0,114.0,84.21,76.32,57.8,71.93
19647330124370.0,19.0,1964733.0,124370.0,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,87.0,29.0,58.62,20.69,100.0,89.0,48.31,20.22,17.24,16.85
19650601938752.0,19.0,1965060.0,1938752.0,Torrance High,Torrance Unified,Los Angeles,509.0,218.0,83.49,60.55,446.0,174.0,90.8,73.56,58.26,72.41
24657890127373.0,24.0,2465789.0,127373.0,El Capitan High,Merced Union High,Merced,373.0,142.0,64.08,32.39,388.0,106.0,76.42,53.77,30.99,53.77
24657892435204.0,24.0,2465789.0,2435204.0,Merced High,Merced Union High,Merced,400.0,110.0,70.91,42.73,417.0,79.0,68.35,51.9,39.09,48.1
34674473432317.0,34.0,3467447.0,3432317.0,El Camino Fundamental High,San Juan Unified,Sacramento,321.0,119.0,85.71,63.03,352.0,120.0,88.33,62.5,62.18,60.0
37683383735750.0,37.0,3768338.0,3735750.0,Point Loma High,San Diego Unified,San Diego,456.0,191.0,87.96,70.16,480.0,238.0,89.08,75.63,69.11,73.11
19647330106864.0,19.0,1964733.0,106864.0,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123.0,123.0,47.15,24.39,132.0,127.0,62.2,44.88,21.14,37.8
19647330107755.0,19.0,1964733.0,107755.0,Port of Los Angeles High,Los Angeles Unified,Los Angeles,202.0,80.0,77.5,66.25,241.0,77.0,85.71,80.52,60.0,76.62
20652012032357.0,20.0,2065201.0,2032357.0,Chowchilla Union High,Chowchilla Union High,Madera,262.0,86.0,55.81,23.26,259.0,65.0,78.46,44.62,20.93,41.54
31668943131851.0,31.0,3166894.0,3131851.0,Colfax High,Placer Union High,Placer,125.0,51.0,80.39,58.82,142.0,41.0,92.68,85.37,54.9,82.93
19645681934082.0,19.0,1964568.0,1934082.0,Herbert Hoover High,Glendale Unified,Los Angeles,351.0,100.0,85.0,72.0,426.0,121.0,89.26,77.69,69.0,75.21
19734371931963.0,19.0,1973437.0,1931963.0,Compton High,Compton Unified,Los Angeles,354.0,65.0,38.46,13.85,407.0,320.0,31.56,11.88,13.85,8.75
30666703035821.0,30.0,3066670.0,3035821.0,Saddleback High,Santa Ana Unified,Orange,383.0,321.0,33.02,24.92,348.0,97.0,50.52,43.3,19.94,31.96
36750443630407.0,36.0,3675044.0,3630407.0,Hesperia High,Hesperia Unified,San Bernardino,445.0,108.0,53.7,19.44,491.0,252.0,64.68,28.97,14.81,27.78
37683463731007.0,37.0,3768346.0,3731007.0,La Costa Canyon High,San Dieguito Union High,San Diego,523.0,183.0,94.54,79.23,481.0,237.0,97.89,88.61,79.23,88.19
47764554733309.0,47.0,4776455.0,4733309.0,Etna Union High,Scott Valley Unified,Siskiyou,43.0,16.0,56.25,43.75,49.0,22.0,86.36,77.27,37.5,72.73
1611190130609.0,1.0,161119.0,130609.0,Alameda Community Learning Center,Alameda Unified,Alameda,31.0,21.0,95.24,52.38,54.0,30.0,100.0,83.33,47.62,83.33
